id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;description;advice
1;Table;open-source;../fake-data/blob/hipster.png;image/png;Integration;../fake-data/blob/hipster.png;image/png;Refined metrics e-commerce;Chief
2;XML Chips Kentucky;Steel transmitting Nevada;../fake-data/blob/hipster.png;image/png;harness Georgia Hat;../fake-data/blob/hipster.png;image/png;Program mesh;Designer array
3;Verde;Loan Music;../fake-data/blob/hipster.png;image/png;Bedfordshire Investor;../fake-data/blob/hipster.png;image/png;Front-line plug-and-play Versatile;Rustic Handcrafted JSON
4;Loan connecting systems;networks;../fake-data/blob/hipster.png;image/png;Avon XML;../fake-data/blob/hipster.png;image/png;invoice Sleek azure;feed Kids
5;Fresh;National;../fake-data/blob/hipster.png;image/png;blue Chief;../fake-data/blob/hipster.png;image/png;Nebraska;Tasty Shirt Central
6;Egypt XML;Armenian;../fake-data/blob/hipster.png;image/png;Cambridgeshire;../fake-data/blob/hipster.png;image/png;circuit;6th
7;UIC-Franc;Pennsylvania Unbranded;../fake-data/blob/hipster.png;image/png;e-services;../fake-data/blob/hipster.png;image/png;Granite frame Borders;hacking
8;methodologies Human protocol;Tasty;../fake-data/blob/hipster.png;image/png;Intranet mint Supervisor;../fake-data/blob/hipster.png;image/png;Account quantify Metal;Electronics Handmade application
9;back-end Applications Dynamic;Berkshire hack interface;../fake-data/blob/hipster.png;image/png;Practical;../fake-data/blob/hipster.png;image/png;ROI circuit Licensed;Sterling Loan Security
10;Gorgeous;Ariary;../fake-data/blob/hipster.png;image/png;Compatible Fish Virginia;../fake-data/blob/hipster.png;image/png;magenta;Designer Knoll
