id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;master_description;master_advice
1;client-server Visionary Bedfordshire;capacitor;../fake-data/blob/hipster.png;image/png;Automotive;../fake-data/blob/hipster.png;image/png;Boliviano Avon;Loan firewall deposit
2;Nauru Identity Table;Tenge;../fake-data/blob/hipster.png;image/png;hack Upgradable Massachusetts;../fake-data/blob/hipster.png;image/png;redundant;Mountains Quality Automated
3;Chips Unbranded revolutionary;Dong Wisconsin;../fake-data/blob/hipster.png;image/png;Computer Security;../fake-data/blob/hipster.png;image/png;copy multi-byte generate;architect
4;optimizing Fresh digital;contingency microchip;../fake-data/blob/hipster.png;image/png;Dynamic;../fake-data/blob/hipster.png;image/png;array Director;Coordinator Ireland Shirt
5;Cheese New driver;platforms Refined Savings;../fake-data/blob/hipster.png;image/png;turquoise;../fake-data/blob/hipster.png;image/png;Consultant Product next;holistic Officer
6;Toys;User-friendly Designer open-source;../fake-data/blob/hipster.png;image/png;Towels Car;../fake-data/blob/hipster.png;image/png;e-services Rubber;integrate Latvian Bedfordshire
7;Hawaii Soap;background Spurs;../fake-data/blob/hipster.png;image/png;Loan Human;../fake-data/blob/hipster.png;image/png;Rica Account reboot;Massachusetts sensor
8;deliver;CSS;../fake-data/blob/hipster.png;image/png;Computers withdrawal Bedfordshire;../fake-data/blob/hipster.png;image/png;Public-key;matrices Jersey
9;Fresh sensor;Senior;../fake-data/blob/hipster.png;image/png;West hacking Iowa;../fake-data/blob/hipster.png;image/png;XSS override;Concrete
10;Music Uruguayo input;Diverse human-resource Handcrafted;../fake-data/blob/hipster.png;image/png;New;../fake-data/blob/hipster.png;image/png;Arab Handmade;blue Customer
