id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;master_description;master_advice
1;Tuna;compress primary cross-platform;../fake-data/blob/hipster.png;image/png;bluetooth Berkshire;../fake-data/blob/hipster.png;image/png;program Cotton Electronics;Idaho value-added
2;Soft empower;invoice Keyboard;../fake-data/blob/hipster.png;image/png;feed;../fake-data/blob/hipster.png;image/png;solid Research;PCI
3;input Checking olive;cross-platform Checking zero;../fake-data/blob/hipster.png;image/png;Chicken Account;../fake-data/blob/hipster.png;image/png;cross-platform copying;paradigms Germany
4;Turkish haptic;Djibouti payment;../fake-data/blob/hipster.png;image/png;Kip Representative Kids;../fake-data/blob/hipster.png;image/png;state Concrete;Washington Brazilian
5;deposit;morph;../fake-data/blob/hipster.png;image/png;Guilder platforms holistic;../fake-data/blob/hipster.png;image/png;zero Creative;Dale Functionality
6;Cotton;capacitor;../fake-data/blob/hipster.png;image/png;implement Towels Albania;../fake-data/blob/hipster.png;image/png;Soft object-oriented;SCSI
7;Home;Technician;../fake-data/blob/hipster.png;image/png;Wooden;../fake-data/blob/hipster.png;image/png;Operations;green applications Implemented
8;PCI;frictionless Unbranded deposit;../fake-data/blob/hipster.png;image/png;red Cloned;../fake-data/blob/hipster.png;image/png;services Hat Facilitator;quantify Virginia
9;HDD;communities connect African;../fake-data/blob/hipster.png;image/png;Dollar 3rd Outdoors;../fake-data/blob/hipster.png;image/png;Pizza mindshare Berkshire;Outdoors recontextualize
10;Landing synthesizing;Saint multi-byte;../fake-data/blob/hipster.png;image/png;port haptic;../fake-data/blob/hipster.png;image/png;hacking Buckinghamshire Ball;didactic
